numenq,sch_lev,farm_f,trad_f,exec_f,tech_f,whc_f,blc_f,noocc_f,farm_m,trad_m,exec_m,tech_m,whc_m,blc_m,noocc_m,orfr,oroecd,orother,foreign,late6,urban,male,age98,date_first,full_first,wage_first,employed_36,full_36,wage_36,experience_36,employed_60,full_60,wage_60,experience_60
312062,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,29,2,1,1372,1,1,991,32,1,1,1296,56
b15827,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,21,7,1,810,1,1,915,29,1,1,915,53
204104,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,21,8,1,1021,1,1,1171,18,1,1,1171,42
311155,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,7,0,1423,1,1,1423,29,1,1,1423,53
214687,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,7,1,1143,1,1,1240,29,1,1,1240,53
c16962,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,8,1,915,1,1,1156,28,1,1,1156,52
c09205,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,9,0,1439,1,1,1439,27,1,1,1439,51
219403,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,20,16,1,1031,1,1,787,20,1,1,787,44
c15698,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,21,7,1,889,1,1,1057,26,1,1,1829,50
218548,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,19,11,1,823,1,1,1127,25,1,1,1127,49
802017,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,21,14,1,991,1,1,1143,22,1,1,1153,46
b14514,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,19,7,1,534,1,1,1021,29,1,1,1021,53
a01607,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,19,21,1,579,1,1,640,15,1,1,787,39
b06438,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21,12,1,945,1,1,1149,24,1,1,1149,48
204764,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,21,7,1,1220,1,1,1350,20,1,1,1350,44
319694,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,24,15,,787,1,1,787,21,1,1,787,45
303806,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,21,7,1,1220,1,1,1100,29,1,1,1100,53
315497,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20,23,1,808,1,1,1404,13,1,1,1404,37
